iter;year;IR;EQ;RE;CS;Gov;Corp
1;0;0.01141;1;1;0.013605159;1;1
1;1;0.014389108;1.032442982;0.935754433;0.013315611;0.996573436;0.998138738
1;2;0.020310982;1.124484409;0.822103228;0.013184966;0.97447796;0.977494699
1;3;0.024352327;1.061350001;0.917084804;0.012843164;0.967081087;0.972554398
1;4;0.022644652;1.000887874;0.816488352;0.012392418;0.988141784;0.993670696
1;5;0.036643745;0.514191643;0.782524211;0.01232335;0.927161787;0.938267989
1;6;0.05223682;0.794896019;0.785619369;0.01196973;0.870078448;0.885084759
1;7;0.063275116;0.607311453;0.734123752;0.011716435;0.830220492;0.849742294
1;8;0.066012848;0.710340894;0.753671864;0.011037323;0.832129813;0.852189817
1;9;0.053663251;0.573839783;0.843012097;0.010756476;0.88549577;0.899966122
1;10;0.064166686;0.510145003;0.814881642;0.011090528;0.837261578;0.857074282
1;11;0.062665565;0.479179198;0.779751664;0.010907854;0.848564476;0.868066022
1;12;0.060882164;0.240908362;0.755405846;0.010831414;0.860412847;0.879925983
1;13;0.062183005;0.370275658;0.810682466;0.01096074;0.857760962;0.877247441
1;14;0.056276234;0.457591945;0.855960212;0.01079816;0.890557654;0.905279952
1;15;0.057589708;0.177949032;0.858745272;0.010936026;0.88776428;0.900877841
1;16;0.054120189;0.27081332;0.806647048;0.010817974;0.907894477;0.921417779
1;17;0.049476131;0.097831539;0.765788741;0.010671333;0.934348334;0.946721176
1;18;0.039612471;0.105523642;0.724316524;0.010449644;0.986717104;0.997553956
1;19;0.05019441;0.157954339;0.70033804;0.010499874;0.947795892;0.95647609
1;20;0.064829611;0.294205675;0.719195741;0.010627533;0.890491131;0.90513463
1;21;0.068417638;0.262278271;0.716252253;0.009980823;0.895198219;0.908528408
1;22;0.086167679;0.235143049;0.640332996;0.009787033;0.83626694;0.853823766
1;23;0.069802963;0.172906088;0.643352186;0.008939385;0.914147353;0.928161843
1;24;0.065212213;0.084079403;0.643503642;0.008669796;0.936914848;0.951579408
1;25;0.043499539;0.014134746;0.614467279;0.008587615;1.033687885;1.043505913
1;26;0.060322044;0.018484677;0.615114572;0.008965789;0.955016396;0.96766992
1;27;0.052501251;0.007320055;0.599203123;0.008672815;0.998152207;1.005183225
1;28;0.053256301;0.001639292;0.562748498;0.008944986;0.992071161;0.999197817
1;29;0.069250977;0.000483047;0.54975967;0.009085543;0.924871505;0.937904213
1;30;0.050562666;0.000233182;0.541429468;0.008417542;1.025016001;1.030232281
1;31;0.049949154;0.000265082;0.533197362;0.008344229;1.032195382;1.037169175
1;32;0.069692085;0.000415378;0.523292265;0.008701809;0.940782137;0.954959515
1;33;0.085509901;0.000547937;0.518622202;0.008428004;0.885254768;0.903235414
1;34;0.08725193;0.000266551;0.512334186;0.008052111;0.888579278;0.904926921
1;35;0.090001408;0.000154264;0.535163017;0.007556153;0.887888764;0.905700025
1;36;0.121388645;0.000120221;0.501713614;0.007348025;0.780869601;0.800162979
1;37;0.133259983;5.70E-05;0.50170778;0.006792361;0.751092184;0.770909577
1;38;0.138792492;9.29E-05;0.514428797;0.00639775;0.739965174;0.760051038
1;39;0.142974952;9.49E-05;0.511846234;0.005881894;0.729958921;0.751441611
1;40;0.142837802;0.000110938;0.503970081;0.005579474;0.728440709;0.750547801
1;41;0.139670402;8.67E-05;0.480117087;0.005313624;0.733852832;0.756804734
1;42;0.136347764;0.000106039;0.4895859;0.005103106;0.736128464;0.759597847
1;43;0.133438461;0.000119369;0.50228446;0.005256386;0.729738043;0.754163469
1;44;0.14511275;0.000130318;0.518276737;0.005496723;0.679061254;0.702062511
1;45;0.138860671;0.000130961;0.549900211;0.005762625;0.679856582;0.704110704
1;46;0.140826375;0.000145188;0.546184845;0.006308356;0.654369087;0.68014238
1;47;0.123671609;0.000178825;0.621506667;0.00690048;0.6843455;0.709647815
1;48;0.124872978;0.000219668;0.673705344;0.007826507;0.656750566;0.684033068
1;49;0.124780066;0.000197945;0.628859036;0.008604191;0.637147572;0.666041907
